gene_symbol,ensembl_id,pair_02_normocaf_normoxia_rep1,pair_02_normocaf_normoxia_rep2,pair_02_normocaf_normoxia_rep3,pair_02_normocaf_hypoxia_rep1,pair_02_normocaf_hypoxia_rep2,pair_02_normocaf_hypoxia_rep3,pair_02_hypocaf_normoxia_rep1,pair_02_hypocaf_normoxia_rep2,pair_02_hypocaf_normoxia_rep3,pair_02_hypocaf_hypoxia_rep1,pair_02_hypocaf_hypoxia_rep2,pair_02_hypocaf_hypoxia_rep3,pair_08_normocaf_normoxia_rep1,pair_08_normocaf_normoxia_rep2,pair_08_normocaf_normoxia_rep3,pair_08_normocaf_hypoxia_rep1,pair_08_normocaf_hypoxia_rep2,pair_08_normocaf_hypoxia_rep3,pair_08_hypocaf_normoxia_rep1,pair_08_hypocaf_normoxia_rep2,pair_08_hypocaf_normoxia_rep3,pair_08_hypocaf_hypoxia_rep1,pair_08_hypocaf_hypoxia_rep2,pair_08_hypocaf_hypoxia_rep3,pair_09_normocaf_normoxia_rep1,pair_09_normocaf_normoxia_rep2,pair_09_normocaf_normoxia_rep3,pair_09_normocaf_hypoxia_rep1,pair_09_normocaf_hypoxia_rep2,pair_09_normocaf_hypoxia_rep3,pair_09_hypocaf_normoxia_rep1,pair_09_hypocaf_normoxia_rep2,pair_09_hypocaf_normoxia_rep3,pair_09_hypocaf_hypoxia_rep1,pair_09_hypocaf_hypoxia_rep2,pair_09_hypocaf_hypoxia_rep3
OR4F5,ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,ENSG00000284733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308427278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,ENSG00000284662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335839306,0,0,0,0,0.300039332,0,0,0,0,0,0,0,0,0,0
SAMD11,ENSG00000187634,3.379160562,2.639170723,2.137397917,3.147692889,2.673774255,2.57703301,16.73317669,20.05955168,17.66234461,19.96054368,15.32288158,16.3266167,5.420495138,5.135964875,4.304241559,5.678688383,6.186059884,6.7642472,1.365079442,1.088187063,0.930994148,1.268308404,1.581002401,2.28366126,3.806059745,4.385599058,6.781493773,3.529304432,3.571246593,4.481033579,6.393467218,6.819313294,6.320969589,3.231180531,3.145703578,3.011124895
NOC2L,ENSG00000188976,116.1563462,119.6961817,111.1586464,78.46283863,73.4749674,74.50661915,149.3021977,148.470833,149.4268948,117.0395408,107.1726897,95.65642627,150.3789269,139.9984022,127.126758,87.53807823,113.4906393,106.3442408,118.8479863,116.6016205,145.6091793,76.67648851,85.844089,79.41280546,160.9407034,150.2188215,161.1594539,78.20164117,74.48057509,72.671735,144.6454308,145.0680902,154.509533,78.3691872,77.78768115,77.4427128
KLHL17,ENSG00000187961,6.314838251,5.578791669,5.912605281,4.312601169,2.637571109,4.669236274,6.79030245,6.076404554,7.591534904,6.387852807,3.78586295,3.398899136,5.835130214,4.170905499,3.917405174,3.126003586,5.448482207,4.585190412,6.074869815,4.819584501,5.009391286,2.740582289,2.88328577,3.589531214,3.300681627,4.795068822,3.221350754,2.544630607,1.143795971,2.847850966,5.382511284,7.118496479,8.004011417,4.309535531,4.313203736,5.01488336
PLEKHN1,ENSG00000187583,4.353762392,4.079662942,4.603231528,5.279848607,6.278875762,5.146000362,3.918707777,3.459069172,2.666367336,4.713162052,3.560471883,4.771766882,4.967024844,4.867185465,4.813206497,5.258741111,5.793443734,6.989612465,1.767522146,1.99913083,3.028601283,2.74201273,2.495931761,2.848355501,2.128058015,2.198427445,1.278098949,4.313764,2.541341636,3.144096437,2.321258912,1.129730174,0.921966153,1.613062009,1.616228838,1.428501573
PERM1,ENSG00000187642,0,0,0,0.573735628,0.194941451,0.603926265,0,0,0,0.260909935,0.217630839,0,0,0.2856025,0,0.776298537,0.845658172,0.561842188,0,0,0,0,0.101707815,0,0,0.082693552,0,0.089761765,0.088764207,0.192180242,0.18161279,0.092071738,0.100185605,0,0,0
HES4,ENSG00000188290,1.579107724,1.66858882,1.701697572,3.13255975,4.151034531,4.286618301,4.708101314,6.044904798,8.226237002,6.837847296,9.268353371,8.641047419,3.506382792,5.925611104,2.248862747,5.086248297,3.324412374,2.147335631,2.059225101,2.784742444,4.851586286,3.938097594,3.331908905,4.405506877,1.048918536,2.167207174,1.364944133,3.822729161,3.198669425,1.573937699,1.18991303,0.904870418,0.984612571,1.033600503,1.82758184,1.307628363
ISG15,ENSG00000187608,90.2902348,51.70636637,75.18611496,47.72185603,42.5157862,99.67499995,56.47549443,54.78606528,53.89276375,38.96074469,48.31944318,40.26508832,89.94458281,86.79241469,89.40609715,55.67300615,76.76440108,68.44300618,42.91833631,41.75507701,58.92411025,66.13460319,59.9513021,53.22322693,59.76536988,65.31617468,74.00610591,56.43706259,44.29907283,56.26237276,35.68366641,36.904519,39.76305437,15.86999988,17.17266442,14.50909441
