sample_name,pair,isolation_oxygen_condition,assay_oxygen_condition,biological_replicate
pair_02_normocaf_normoxia_rep1,pair_02,normocaf,normoxia,1
pair_02_normocaf_normoxia_rep2,pair_02,normocaf,normoxia,2
pair_02_normocaf_normoxia_rep3,pair_02,normocaf,normoxia,3
pair_02_normocaf_hypoxia_rep1,pair_02,normocaf,hypoxia,1
pair_02_normocaf_hypoxia_rep2,pair_02,normocaf,hypoxia,2
pair_02_normocaf_hypoxia_rep3,pair_02,normocaf,hypoxia,3
pair_02_hypocaf_normoxia_rep1,pair_02,hypocaf,normoxia,1
pair_02_hypocaf_normoxia_rep2,pair_02,hypocaf,normoxia,2
pair_02_hypocaf_normoxia_rep3,pair_02,hypocaf,normoxia,3
pair_02_hypocaf_hypoxia_rep1,pair_02,hypocaf,hypoxia,1
pair_02_hypocaf_hypoxia_rep2,pair_02,hypocaf,hypoxia,2
pair_02_hypocaf_hypoxia_rep3,pair_02,hypocaf,hypoxia,3
pair_08_normocaf_normoxia_rep1,pair_08,normocaf,normoxia,1
pair_08_normocaf_normoxia_rep2,pair_08,normocaf,normoxia,2
pair_08_normocaf_normoxia_rep3,pair_08,normocaf,normoxia,3
pair_08_normocaf_hypoxia_rep1,pair_08,normocaf,hypoxia,1
pair_08_normocaf_hypoxia_rep2,pair_08,normocaf,hypoxia,2
pair_08_normocaf_hypoxia_rep3,pair_08,normocaf,hypoxia,3
pair_08_hypocaf_normoxia_rep1,pair_08,hypocaf,normoxia,1
pair_08_hypocaf_normoxia_rep2,pair_08,hypocaf,normoxia,2
pair_08_hypocaf_normoxia_rep3,pair_08,hypocaf,normoxia,3
pair_08_hypocaf_hypoxia_rep1,pair_08,hypocaf,hypoxia,1
pair_08_hypocaf_hypoxia_rep2,pair_08,hypocaf,hypoxia,2
pair_08_hypocaf_hypoxia_rep3,pair_08,hypocaf,hypoxia,3
pair_09_normocaf_normoxia_rep1,pair_09,normocaf,normoxia,1
pair_09_normocaf_normoxia_rep2,pair_09,normocaf,normoxia,2
pair_09_normocaf_normoxia_rep3,pair_09,normocaf,normoxia,3
pair_09_normocaf_hypoxia_rep1,pair_09,normocaf,hypoxia,1
pair_09_normocaf_hypoxia_rep2,pair_09,normocaf,hypoxia,2
pair_09_normocaf_hypoxia_rep3,pair_09,normocaf,hypoxia,3
pair_09_hypocaf_normoxia_rep1,pair_09,hypocaf,normoxia,1
pair_09_hypocaf_normoxia_rep2,pair_09,hypocaf,normoxia,2
pair_09_hypocaf_normoxia_rep3,pair_09,hypocaf,normoxia,3
pair_09_hypocaf_hypoxia_rep1,pair_09,hypocaf,hypoxia,1
pair_09_hypocaf_hypoxia_rep2,pair_09,hypocaf,hypoxia,2
pair_09_hypocaf_hypoxia_rep3,pair_09,hypocaf,hypoxia,3
