caf_pair_no,isolation_oxygen_percent,cell_number,aspect_ratio
13,21,1,11.07
13,21,2,8.391
13,21,3,16.194
13,21,4,11.079
13,21,5,14.85
13,21,6,9.786
13,21,7,23.971
13,21,8,11.716
13,21,9,12.771
13,21,10,11.023
13,21,11,10.239
13,21,12,5.803
13,21,13,8.556
13,21,14,7.6
13,21,15,2.133
13,21,16,5.783
13,21,17,17.338
13,21,18,15.287
13,21,19,12.158
13,21,20,4.409
13,21,21,5.048
13,21,22,12.95
13,21,23,3.861
13,21,24,7.802
13,21,25,5.714
13,21,26,5.639
13,21,27,7.608
13,21,28,2.01
13,21,29,3.496
13,21,30,4.878
13,1,1,5.28
13,1,2,2.266
13,1,3,4.885
13,1,4,4.947
13,1,5,7.488
13,1,6,2.463
13,1,7,3.086
13,1,8,8.814
13,1,9,3.851
13,1,10,2.275
13,1,11,2.099
13,1,12,2.807
13,1,13,4.31
13,1,14,2.151
13,1,15,1.195
13,1,16,1.675
13,1,17,1.325
13,1,18,1.643
13,1,19,2.009
13,1,20,5.28
13,1,21,4.288
13,1,22,2.823
13,1,23,4.544
13,1,24,5.28
13,1,25,1.085
13,1,26,3.238
13,1,27,3.691
13,1,28,1.848
13,1,29,5.28
13,1,30,1.934
16,21,1,9.779
16,21,2,21.711
16,21,3,19.178
16,21,4,11.638
16,21,5,6.503
16,21,6,5.284
16,21,7,4.301
16,21,8,8.977
16,21,9,7.613
16,21,10,9.453
16,21,11,14.679
16,21,12,4.171
16,21,13,9.319
16,21,14,9.602
16,21,15,10.896
16,21,16,6.182
16,21,17,3.188
16,21,18,4.98
16,21,19,2.887
16,21,20,5.069
16,21,21,2.289
16,21,22,8.971
16,21,23,4.778
16,21,24,8.662
16,21,25,4.908
16,21,26,3.639
16,21,27,7.096
16,21,28,4.318
16,21,29,1.761
16,21,30,4.885
16,1,1,4.587
16,1,2,13.767
16,1,3,1.54
16,1,4,8.488
16,1,5,3.02
16,1,6,3.417
16,1,7,3.175
16,1,8,2.07
16,1,9,1.552
16,1,10,10.976
16,1,11,2.767
16,1,12,2.093
16,1,13,1.252
16,1,14,1.678
16,1,15,1.414
16,1,16,3.12
16,1,17,1.974
16,1,18,3.5
16,1,19,4.516
16,1,20,1.999
16,1,21,2.369
16,1,22,2.73
16,1,23,7.262
16,1,24,1.118
16,1,25,2.646
16,1,26,3.527
16,1,27,2.712
16,1,28,4.548
16,1,29,4.587
16,1,30,13.767
17,21,1,3.496
17,21,2,9.079
17,21,3,5.94
17,21,4,12.03
17,21,5,19.65
17,21,6,3.502
17,21,7,3.944
17,21,8,8.486
17,21,9,5.295
17,21,10,10.877
17,21,11,15.357
17,21,12,6.505
17,21,13,2.368
17,21,14,1.31
17,21,15,5.066
17,21,16,1.697
17,21,17,3.514
17,21,18,2.922
17,21,19,1.405
17,21,20,3.88
17,21,21,2.377
17,21,22,7.148
17,21,23,3.699
17,21,24,4.004
17,21,25,1.792
17,21,26,11.933
17,21,27,2.829
17,21,28,14.019
17,21,29,9.079
17,21,30,7.04
17,1,1,2.685
17,1,2,2.082
17,1,3,1.662
17,1,4,2.498
17,1,5,2.553
17,1,6,1.585
17,1,7,2.187
17,1,8,1.537
17,1,9,1.461
17,1,10,1.288
17,1,11,2.821
17,1,12,1.523
17,1,13,2.019
17,1,14,1.63
17,1,15,1.86
17,1,16,1.354
17,1,17,1.92
17,1,18,1.126
17,1,19,1.491
17,1,20,2.629
17,1,21,1.595
17,1,22,2.685
17,1,23,1.745
17,1,24,3.204
17,1,25,2.898
17,1,26,2.411
17,1,27,2.383
17,1,28,1.138
17,1,29,3.691
17,1,30,1.737
