caf_pair_no,isolation_oxygen_percent,assay_oxygen_percent,day,time_after_seeding_hours,replicate_no,raw_luminescence
pair_12,1,1,1,24,1,1221000
pair_12,1,1,1,24,2,1233000
pair_12,1,1,1,24,3,1239000
pair_12,1,1,2,48,1,1709000
pair_12,1,1,2,48,2,1889000
pair_12,1,1,2,48,3,1827000
pair_12,1,1,3,72,1,3014000
pair_12,1,1,3,72,2,2954000
pair_12,1,1,3,72,3,2865000
pair_12,1,1,4,96.5,1,3984000
pair_12,1,1,4,96.5,2,4278000
pair_12,1,1,4,96.5,3,4434000
pair_12,1,1,5,118,1,6680000
pair_12,1,1,5,118,2,6313000
pair_12,1,1,5,118,3,6631000
pair_12,1,1,6,144,1,7776000
pair_12,1,1,6,144,2,7696000
pair_12,1,1,6,144,3,8026000
pair_12,1,1,7,168,1,9343000
pair_12,1,1,7,168,2,9336000
pair_12,1,1,7,168,3,9564000
pair_12,1,21,1,24,1,1159000
pair_12,1,21,1,24,2,1221000
pair_12,1,21,1,24,3,1293000
pair_12,1,21,2,48,1,1904000
pair_12,1,21,2,48,2,1937000
pair_12,1,21,2,48,3,2036000
pair_12,1,21,3,72,1,3410000
pair_12,1,21,3,72,2,3503000
pair_12,1,21,3,72,3,3689000
pair_12,1,21,4,96.5,1,5189000
pair_12,1,21,4,96.5,2,5782000
pair_12,1,21,4,96.5,3,5515000
pair_12,1,21,5,118,1,8270000
pair_12,1,21,5,118,2,8454000
pair_12,1,21,5,118,3,8538000
pair_12,1,21,6,144,1,10180000
pair_12,1,21,6,144,2,10590000
pair_12,1,21,6,144,3,11510000
pair_12,1,21,7,168,1,13000000
pair_12,1,21,7,168,2,13390000
pair_12,1,21,7,168,3,14030000
pair_12,21,1,1,24,1,500100
pair_12,21,1,1,24,2,512900
pair_12,21,1,1,24,3,500200
pair_12,21,1,2,48,1,532700
pair_12,21,1,2,48,2,573500
pair_12,21,1,2,48,3,522900
pair_12,21,1,3,71,1,637000
pair_12,21,1,3,71,2,638500
pair_12,21,1,3,71,3,641900
pair_12,21,1,4,96,1,848200
pair_12,21,1,4,96,2,827700
pair_12,21,1,4,96,3,872500
pair_12,21,1,5,120,1,871100
pair_12,21,1,5,120,2,972600
pair_12,21,1,5,120,3,872700
pair_12,21,1,6,144,1,1215000
pair_12,21,1,6,144,2,1270000
pair_12,21,1,6,144,3,1234000
pair_12,21,1,7,168,1,1393000
pair_12,21,1,7,168,2,1742000
pair_12,21,1,7,168,3,1235000
pair_12,21,21,1,24,1,444400
pair_12,21,21,1,24,2,497100
pair_12,21,21,1,24,3,469800
pair_12,21,21,2,48,1,542900
pair_12,21,21,2,48,2,495900
pair_12,21,21,2,48,3,533800
pair_12,21,21,3,71,1,672600
pair_12,21,21,3,71,2,724500
pair_12,21,21,3,71,3,673000
pair_12,21,21,4,96,1,888300
pair_12,21,21,4,96,2,839900
pair_12,21,21,4,96,3,968900
pair_12,21,21,5,120,1,1130000
