"SYMBOL","ENTREZID"
"A2ML1","144568"
"AAMP","14"
"AAR2","25980"
"AARSD1","80755"
"ABAT","18"
"ABCA1","19"
"ABCA3","21"
"ABCA4","24"
"ABCA7","10347"
"ABCB1","5243"
"ABCB4","5244"
"ABCB6","10058"
"ABCC1","4363"
"ABCC12","94160"
"ABCC2","1244"
"ABCC3","8714"
"ABCC4","10257"
"ABCC6","368"
"ABCC8","6833"
"ABCC9","10060"
"ABCD1","215"
"ABCD3","5825"
"ABCD4","5826"
"ABCF3","55324"
"ABCG1","9619"
"ABCG2","9429"
"ABHD11","83451"
"ABHD6","57406"
"ABI3","51225"
"ABI3BP","25890"
"ABL1","25"
"ABL2","27"
"ABO","28"
"ABTB1","80325"
"ABTB2","25841"
"ACAA2","10449"
"ACACA","31"
"ACACB","32"
"ACAP1","9744"
"ACAP2","23527"
"ACAT1","38"
"ACE","1636"
"ACE2","59272"
"ACHE","43"
"ACKR3","57007"
"ACLY","47"
"ACOD1","730249"
"ACP5","54"
"ACPP","55"
"ACRBP","84519"
"ACRV1","56"
"ACSL4","2182"
"ACTA2","59"
"ACTBL2","345651"
"ACTL6A","86"
"ACTL7A","10881"
"ACTN1","87"
"ACTN2","88"
"ACTN4","81"
"ACVR1","90"
"ACVR1B","91"
"ACVR2A","92"
"ACVRL1","94"
"ACYP2","98"
"ADA","100"
"ADAM10","102"
"ADAM12","8038"
"ADAM17","6868"
"ADAM28","10863"
"ADAM33","80332"
"ADAM8","101"
"ADAM9","8754"
"ADAMDEC1","27299"
"ADAMTS1","9510"
"ADAMTS12","81792"
"ADAMTS19","171019"
"ADAMTS2","9509"
"ADAMTS4","9507"
"ADAMTS5","11096"
"ADAMTSL3","57188"
"ADAR","103"
"ADCY2","108"
"ADCYAP1","116"
"ADCYAP1R1","117"
"ADD1","118"
"ADGRA1","84435"
"ADGRA2","25960"
"ADGRA3","166647"
"ADGRB1","575"
"ADGRB2","576"
"ADGRD1","283383"
"ADGRD2","347088"
"ADGRE1","2015"
"ADGRE2","30817"
"ADGRE5","976"
"ADGRG5","221188"
"ADGRG6","57211"
"ADGRL1","22859"
"ADGRL4","64123"
"ADIPOQ","9370"
"ADIPOR1","51094"
"ADIPOR2","79602"
"ADM","133"
"ADNP","23394"
"ADORA1","134"
"ADORA2A","135"
"ADORA2B","136"
"ADORA3","140"
"ADRA1A","148"
"ADRA1B","147"
"ADRA1D","146"
"ADRA2A","150"
"ADRA2B","151"
"ADRA2C","152"
"ADRB1","153"
"ADRB2","154"
"ADRB3","155"
"ADTRP","84830"
"AEBP1","165"
"AFAP1L2","84632"
"AFF1","4299"
"AFF2","2334"
"AFG1L","246269"
"AFM","173"
"AGAP1","116987"
"AGAP3","116988"
"AGER","177"
"AGMAT","79814"
"AGO1","26523"
"AGR2","10551"
"AGR3","155465"
"AGRP","181"
"AGTR1","185"
"AGTR2","186"
"AGXT","189"
"AHCY","191"
"AHR","196"
"AHRR","57491"
"AHSG","197"
"AICDA","57379"
"AIF1L","83543"
"AIFM1","9131"
"AIM2","9447"
"AIMP2","7965"
"AIP","9049"
"AIRE","326"
"AJAP1","55966"
"AKAP11","11215"
"AKAP4","8852"
"AKAP8","10270"
"AKR1B1","231"
"AKR1C3","8644"
"AKT1","207"
"AKT2","208"
"AKT3","10000"
"AKTIP","64400"
"ALAD","210"
"ALCAM","214"
"ALDH1B1","219"
"ALDH2","217"
"ALDH3A2","224"
"ALDH7A1","501"
"ALDOA","226"
"ALG11","440138"
"ALG13","79868"
"ALG2","85365"
"ALG6","29929"
"ALG9","79796"
"ALK","238"
"ALKBH5","54890"
"ALOX12","239"
"ALOX15","246"
"ALOX5","240"
"ALPK1","80216"
"ALPK3","57538"
"ALPL","249"
"ALX1","8092"
"ALYREF","10189"
"AMACR","23600"
"AMER1","139285"
"AMFR","267"
"AMH","268"
"AMIGO1","57463"
"AMIGO3","386724"
"AMOT","154796"
"AMY2A","279"
"ANAPC1","64682"
"ANGPT1","284"
"ANGPT2","285"
"ANGPTL2","23452"
"ANGPTL3","27329"
"ANGPTL4","51129"
"ANGPTL6","83854"
"ANGPTL7","10218"
"ANGPTL8","55908"
"ANK1","286"
"ANKHD1","54882"
"ANKK1","255239"
"ANKRD13A","88455"
"ANKRD13D","338692"
"ANKRD17","26057"
"ANKRD30A","91074"
"ANKRD40","91369"
"ANKRD44","91526"
"ANKRD6","22881"
"ANKS1A","23294"
"ANKS6","203286"
"ANKZF1","55139"
"ANLN","54443"
"ANO1","55107"
"ANO3","63982"
"ANP32E","81611"
"ANPEP","290"
"ANXA10","11199"
"ANXA2","302"
"ANXA3","306"
"ANXA5","308"
"ANXA8","653145"
"ANXA8L1","728113"
"AOAH","313"
"AOC3","8639"
"AOX1","316"
"AP1B1","162"
"AP1M1","8907"
"AP1S3","130340"
"AP2A1","160"
"AP2A2","161"
"AP2M1","1173"
"AP3B2","8120"
"AP3D1","8943"
