"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","entrez_id"
0,5.48054637080661,0.202,0.003,0,"CAF-8","TOP2A",7153
0,5.30898779311424,0.255,0.005,0,"CAF-8","RRM2",6241
0,5.30556503998341,0.251,0.005,0,"CAF-8","MYBL2",4605
0,5.16780165190778,0.294,0.007,0,"CAF-8","ANLN",54443
0,5.1565078715433,0.264,0.006,0,"CAF-8","BIRC5",332
0,4.39221768201889,0.358,0.014,0,"CAF-8","TYMS",7298
0,3.41106091914813,0.244,0.015,0,"CAF-8","LMNB1",4001
4.41175263314502e-269,2.83924284462329,0.312,0.035,2.24778796658739e-265,"CAF-8","STMN1",3925
9.25108735868012e-123,2.5009474214146,0.221,0.035,4.71342900924752e-119,"CAF-8","MCM4",4173
1.01315803744412e-135,2.44164010185106,0.209,0.029,5.16204020077778e-132,"CAF-8","MCM5",4174
4.28725462877041e-142,1.93111652679769,0.414,0.095,2.18435623335852e-138,"CAF-8","PCNA",5111
9.80726329238983e-96,1.72636898763703,0.271,0.059,4.99680064747262e-92,"CAF-8","RRM1",6240
7.5123853688343e-71,1.72328362313978,0.219,0.051,3.82756034542107e-67,"CAF-8","MCM3",4172
7.42729429238675e-91,1.71312342837051,0.278,0.064,3.78420644197105e-87,"CAF-8","MCM7",4176
6.01940228021741e-96,1.66656308472835,0.274,0.06,3.06688546177077e-92,"CAF-8","H2AFX",3014
2.03819701025344e-70,1.58483551171821,0.333,0.102,1.03846137672413e-66,"CAF-8","LOXL2",4017
1.04232829107229e-90,1.49638639174207,0.563,0.209,5.31066264301334e-87,"CAF-8","MMP11",4320
5.66406878899348e-47,1.41056125624514,0.202,0.057,2.88584304799218e-43,"CAF-8","OAS3",4940
4.21232654038814e-60,1.34501260719924,0.242,0.066,2.14618037232776e-56,"CAF-8","KPNA2",3838
1.10405988747558e-66,1.33410123408899,0.239,0.06,5.62518512668806e-63,"CAF-8","SMC4",10051
4.0896899923753e-54,1.24533433532433,0.333,0.116,2.08369705111522e-50,"CAF-8","COL11A1",1301
1.80987353147753e-53,1.19420578046875,0.278,0.087,9.22130564287802e-50,"CAF-8","CST4",1472
4.86009783381155e-44,1.17363489453762,0.223,0.069,2.47621984632699e-40,"CAF-8","DNAJC9",23234
1.36758610054723e-54,1.09358092508916,0.343,0.121,6.96785118228813e-51,"CAF-8","CST1",1469
3.8114067068315e-74,1.03597511225594,0.973,0.759,1.94191171713065e-70,"CAF-8","FN1",2335
3.53570456829769e-39,1.03594428597585,0.273,0.1,1.80144147754767e-35,"CAF-8","RAI14",26064
8.74984120173194e-43,1.00877069303011,0.301,0.11,4.45804409228243e-39,"CAF-8","ENTPD1",953
5.07442269096644e-86,1.00280038653834,0.924,0.59,2.5854183610474e-82,"CAF-8","TUBB",203068
