gene,set_name,custom_panel
ACTA2,myCAF,included
CCN2,myCAF,included
TPM1,myCAF,included
TPM2,myCAF,included
TAGLN,myCAF,included
MYL9,myCAF,included
COL10A1,myCAF,included
PDGFRB,myCAF,included
LRRC15,myCAF,included
MYH11,myCAF,included
MYLK,myCAF,included
MMP11,myCAF,included
HOPX,myCAF,included
IL6,iCAF,included
IL1R1,iCAF,included
IL11,iCAF,included
LIF,iCAF,included
CXCL2,iCAF,included
CXCL12,iCAF,included
PDGFRA,iCAF,included
HAS2,iCAF,included
APOD,iCAF,included
DPT,iCAF,included
CCL2,iCAF,included
AGTR1,iCAF,included
VEGFA,Buffa,included
SLC2A1,Buffa,included
PGAM1,Buffa,included
ENO1,Buffa,included
LDHA,Buffa,included
P4HA1,Buffa,included
CDKN3,Buffa,included
ADM,Buffa,included
NDRG1,Buffa,included
TUBB6,Buffa,included
ALDOA,Buffa,included
MCTS1,Buffa,included
PSRC1,Buffa,included
ANLN,Buffa,included
MAP7D1,Buffa,included
BNIP3,Buffa,included
CORO1C,Buffa,included
PFKP,Buffa,included
KIF20A,Buffa,included
SLC16A1,Buffa,included
PGK1,Buffa,included
HK2,Buffa,included
CA9,Buffa,included
CTSV,Buffa,included
P4HA1,Winter,included
ADORA2B,Winter,included
GMFB,Winter,included
PGAM1,Winter,included
GSS,Winter,included
PSMD2,Winter,included
ALDOA,Winter,included
PVR,Winter,included
PTGFRN,Winter,included
ANGPTL4,Winter,included
SLC16A1,Winter,included
PYGL,Winter,included
SLC2A1,Winter,included
RAN,Winter,included
KCTD11,Winter,included
PGF,Winter,included
TPBG,Winter,included
KRT17,Winter,included
PGK1,Winter,included
KHDC3L,Winter,included
RUVBL2,Winter,included
TUBB2A,Winter,included
ANLN,Winter,included
VEGFA,Winter,included
S100A3,Winter,included
ZEB2,Winter,included
BCAR1,Winter,included
BNIP3,Winter,included
SLCO1B3,Winter,included
CA12,Winter,included
IGF2BP2,Winter,included
CA9,Winter,included
PAWR,Winter,included
LDHA,Winter,included
COL4A5,Winter,included
LDLR,Winter,included
CORO1C,Winter,included
PLAU,Winter,included
PPARD,Winter,included
VAPB,Winter,included
NDRG1,Winter,included
XPO5,Winter,included
NME1,Winter,included
EIF2S1,Winter,included
PPP4R1,Winter,included
CXCL8,Winter,included
TNS4,Winter,included
PSMA7,Buffa,not_included
DDIT4,Buffa,not_included
KIF4A,Buffa,not_included
TPI1,Buffa,not_included
MRPS17,Buffa,not_included
MIF,Buffa,not_included
ACOT7,Buffa,not_included
TUBA1B,Buffa,not_included
MAD2L2,Buffa,not_included
GPI,Buffa,not_included
TUBA1C,Buffa,not_included
MRGBP,Buffa,not_included
HIG2,Buffa,not_included
GAPDH,Buffa,not_included
MRPL13,Buffa,not_included
CHCHD2,Buffa,not_included
YKT6,Buffa,not_included
NP,Buffa,not_included
SEC61G,Buffa,not_included
ANKRD37,Buffa,not_included
ESRP1,Buffa,not_included
SHCBP1,Buffa,not_included
SLC25A32,Buffa,not_included
UTP11L,Buffa,not_included
MRPL15,Buffa,not_included
LRRC42,Buffa,not_included
AK3L1,Buffa,not_included
MTX1,Winter,not_included
GAPDH,Winter,not_included
PSMA7,Winter,not_included
PFKFB4,Winter,not_included
PSMB7,Winter,not_included
AK3,Winter,not_included
HES2,Winter,not_included
HIGD1A,Winter,not_included
NINL,Winter,not_included
MRPS17,Winter,not_included
TEAD4,Winter,not_included
RNF24,Winter,not_included
RNPS1,Winter,not_included
TPI1,Winter,not_included
AFAP1,Winter,not_included
C9orf24,Winter,not_included
S100A10,Winter,not_included
C11orf70,Winter,not_included
B4GALT2,Winter,not_included
VEZT,Winter,not_included
LRP2BP,Winter,not_included
C3orf52,Winter,not_included
FAM222A,Winter,not_included
SLC6A10P,Winter,not_included
BMS1,Winter,not_included
ANKRD9,Winter,not_included
C17orf105,Winter,not_included
SLC6A8,Winter,not_included
TMEM251,Winter,not_included
C2orf76,Winter,not_included
HOMER1,Winter,not_included
BRD9,Winter,not_included
MIF,Winter,not_included
SMIM3,Winter,not_included
SCYL3,Winter,not_included
MRPL14,Winter,not_included
SNX24,Winter,not_included
NUDT15,Winter,not_included
SPTB,Winter,not_included
KIAA1393,Winter,not_included
CDCA4,Winter,not_included
TFAP2C,Winter,not_included
PDZK11,Winter,not_included
TIMM23,Winter,not_included
TMEM30B,Winter,not_included
FAM162A,Winter,not_included
PLEKHG3,Winter,not_included
TPD52L2,Winter,not_included
MNAT1,Winter,not_included
ZNF574,Winter,not_included
DPM2,Winter,not_included
PPP2R5C,Winter,not_included
