dbCluster,Subtype,Number,Ensembl_Mouse,Symbol_Mouse,Ortholog_Human,ENTREZID
1,iCAF,1,ENSMUSG00000025784,Clec3b,CLEC3B,7123
1,iCAF,2,ENSMUSG00000026879,Gsn,GSN,2934
1,iCAF,3,ENSMUSG00000027832,Ptx3,PTX3,5806
1,iCAF,4,ENSMUSG00000079018,Ly6c1,LY6S,105375795
1,iCAF,5,ENSMUSG00000020467,Efemp1,EFEMP1,2202
1,iCAF,6,ENSMUSG00000075602,Ly6a,LY6S,105375795
1,iCAF,7,ENSMUSG00000031380,Figf,VEGFD,2277
1,iCAF,8,ENSMUSG00000053475,Tnfaip6,TNFAIP6,7130
1,iCAF,9,ENSMUSG00000079017,Ifi27l2a,IFI27,3429
1,iCAF,10,ENSMUSG00000026574,Dpt,DPT,1805
1,iCAF,11,ENSMUSG00000030790,Adm,ADM,133
1,iCAF,12,ENSMUSG00000028517,Plpp3,PLPP3,8613
1,iCAF,13,ENSMUSG00000033327,Tnxb,TNXB,7148
1,iCAF,14,ENSMUSG00000061353,Cxcl12,CXCL12,6387
1,iCAF,15,ENSMUSG00000058135,Gstm1,GSTM1,2944
1,iCAF,16,ENSMUSG00000073418,C4b,C4B,721
1,iCAF,17,ENSMUSG00000021390,Ogn,OGN,4969
1,iCAF,18,ENSMUSG00000024164,C3,C3,718
1,iCAF,19,ENSMUSG00000015354,Pcolce2,PCOLCE2,26577
1,iCAF,20,ENSMUSG00000029380,Cxcl1,CXCL1,2919
1,iCAF,21,ENSMUSG00000022371,Col14a1,COL14A1,7373
1,iCAF,22,ENSMUSG00000028369,Svep1,SVEP1,79987
1,iCAF,23,ENSMUSG00000022894,Adamts5,ADAMTS5,11096
1,iCAF,24,ENSMUSG00000031722,Hp,HP,3240
1,iCAF,25,ENSMUSG00000003665,Has1,HAS1,3036
1,iCAF,26,ENSMUSG00000034463,Scara3,SCARA3,51435
1,iCAF,27,ENSMUSG00000054203,Ifi205,MNDA,4332
1,iCAF,28,ENSMUSG00000019278,Dpep1,DPEP1,1800
1,iCAF,29,ENSMUSG00000021319,Sfrp4,SFRP4,6424
1,iCAF,30,ENSMUSG00000039405,Prss23,PRSS23,11098
1,iCAF,31,ENSMUSG00000044337,Ackr3,ACKR3,57007
1,iCAF,32,ENSMUSG00000029096,Htra3,HTRA3,94031
1,iCAF,33,ENSMUSG00000002985,Apoe,APOE,348
1,iCAF,34,ENSMUSG00000035373,Ccl7,CCL7,6354
1,iCAF,35,ENSMUSG00000025746,Il6,IL6,3569
1,iCAF,36,ENSMUSG00000027996,Sfrp2,SFRP2,6423
1,iCAF,37,ENSMUSG00000002847,Pla1a,PLA1A,51365
1,iCAF,38,ENSMUSG00000022032,Scara5,SCARA5,286133
1,iCAF,39,ENSMUSG00000047793,Sned1,SNED1,25992
2,apCAF,1,ENSMUSG00000017002,Slpi,SLPI,6590
2,apCAF,2,ENSMUSG00000040026,Saa3,SAA1,6288
2,apCAF,3,ENSMUSG00000024610,Cd74,CD74,972
2,apCAF,4,ENSMUSG00000062345,Serpinb2,SERPINB2,5055
2,apCAF,5,ENSMUSG00000063011,Msln,MSLN,10232
2,apCAF,6,ENSMUSG00000053522,Lgals7,LGALS7B,653499
2,apCAF,7,ENSMUSG00000073421,H2-Ab1,HLA-DQB2,3120
2,apCAF,8,ENSMUSG00000042985,Upk3b,UPK3B,105375355
2,apCAF,9,ENSMUSG00000020911,Krt19,KRT19,3880
2,apCAF,10,ENSMUSG00000027574,Nkain4,NKAIN4,128414
2,apCAF,11,ENSMUSG00000030669,Calca,CALCA,796
2,apCAF,12,ENSMUSG00000020733,Slc9a3r1,NHERF1,9368
2,apCAF,13,ENSMUSG00000022037,Clu,CLU,1191
2,apCAF,14,ENSMUSG00000022425,Enpp2,ENPP2,5168
2,apCAF,15,ENSMUSG00000049382,Krt8,KRT8,3856
2,apCAF,16,ENSMUSG00000060586,H2-Eb1,HLA-DQB1,3119
2,apCAF,17,ENSMUSG00000004951,Hspb1,HSPB1,3315
2,apCAF,18,ENSMUSG00000049436,Upk1b,UPK1B,7348
2,apCAF,19,ENSMUSG00000036594,H2-Aa,HLA-DQA1,3117
2,apCAF,20,ENSMUSG00000017969,Ptgis,PTGIS,5740
2,apCAF,21,ENSMUSG00000022865,Cxadr,CXADR,1525
2,apCAF,22,ENSMUSG00000023043,Krt18,KRT18,3875
2,apCAF,23,ENSMUSG00000052397,Ezr,EZR,7430
2,apCAF,24,ENSMUSG00000060962,Dmkn,DMKN,93099
2,apCAF,25,ENSMUSG00000028989,Angptl7,ANGPTL7,10218
2,apCAF,26,ENSMUSG00000023039,Krt7,KRT7,3855
2,apCAF,27,ENSMUSG00000030220,Arhgdib,ARHGDIB,397
2,apCAF,28,ENSMUSG00000007655,Cav1,CAV1,857
2,apCAF,29,ENSMUSG00000072601,Ear1,RNASE2,6036
2,apCAF,30,ENSMUSG00000024661,Fth1,FTH1,2495
2,apCAF,31,ENSMUSG00000029371,Cxcl5,CXCL6,6372
2,apCAF,32,ENSMUSG00000031517,Gpm6a,GPM6A,2823
2,apCAF,33,ENSMUSG00000017009,Sdc4,SDC4,6385
2,apCAF,34,ENSMUSG00000032554,Trf,TF,7018
2,apCAF,35,ENSMUSG00000074227,Spint2,SPINT2,10653
3,myCAF,1,ENSMUSG00000029304,Spp1,SPP1,6696
3,myCAF,2,ENSMUSG00000026249,Serpine2,SERPINE2,5270
3,myCAF,3,ENSMUSG00000021508,Cxcl14,CXCL14,9547
3,myCAF,4,ENSMUSG00000007888,Crlf1,CRLF1,9244
3,myCAF,5,ENSMUSG00000020427,Igfbp3,IGFBP3,3486
3,myCAF,6,ENSMUSG00000035783,Acta2,ACTA2,59
3,myCAF,7,ENSMUSG00000032085,Tagln,TAGLN,6876
3,myCAF,8,ENSMUSG00000032011,Thy1,THY1,7070
3,myCAF,9,ENSMUSG00000068196,Col8a1,COL8A1,1295
3,myCAF,10,ENSMUSG00000054196,Cthrc1,CTHRC1,115908
3,myCAF,11,ENSMUSG00000031548,Sfrp1,SFRP1,6422
3,myCAF,12,ENSMUSG00000028364,Tnc,TNC,3371
3,myCAF,13,ENSMUSG00000029309,Sparcl1,SPARCL1,8404
3,myCAF,14,ENSMUSG00000028339,Col15a1,COL15A1,1306
3,myCAF,15,ENSMUSG00000032332,Col12a1,COL12A1,1303
3,myCAF,16,ENSMUSG00000002603,Tgfb1,TGFB1,7040
3,myCAF,17,ENSMUSG00000001506,Col1a1,COL1A1,1277
3,myCAF,18,ENSMUSG00000020592,Sdc1,SDC1,6382
3,myCAF,19,ENSMUSG00000042254,Cilp,CILP,8483
3,myCAF,20,ENSMUSG00000000031,H19,H19,283120
3,myCAF,21,ENSMUSG00000023885,Thbs2,THBS2,7058
